comment,ai_labelled,emoji_present,hindi_pct
bimul ni khatm hona chaiye ye,non-sarcastic,no,90.91
Sister ko Salam hai big respect growing_heart Pakistan India,non-sarcastic,no,33.33
are mitraa too kashaalaa yaa vishayaanmadhye ghusatoya too kashaalaa banavalan pa.ckejachyaa rileteda too kashaalaa pablika sho karata aahe haa mahaaraashtra mitra aahe kaa dillee yupee bihaara aahe kaa jo bhaashaa samajala tyaa bhaasheta tithe uttara dilan jaatan,non-sarcastic,no,95.74
confused_face isakaa phula nema pataa karo taba asalee khela samajha men aayegaa,non-sarcastic,no,88.0
Proud to be hindu triangular_flag clapping_hands,non-sarcastic,no,0.0
too raandata hotee naa aani raagacha raahanaara aahe,non-sarcastic,no,100.0
Use condom balloon saved earth globe_showing_Americas,non-sarcastic,no,0.0
Chapri dhrub Rathi smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
Grate madam check_mark_button India India India enraged_face enraged_face enraged_face,non-sarcastic,no,0.0
had hai besharmi ki har jagha hindu nuslim karwate rehte ho ye souch tum log peda karte ho logo ke dimgh mein godi media,sarcastic,no,92.31
he bhagavaana aba kiyaa karoo inakaa clapping_hands rahana de bhaaee,sarcastic,no,72.0
Up wale hijde hai aaisa bolo crying_face,sarcastic,yes,57.14
face_with_tears_of_joy face_with_tears_of_joy bda hi nich abe jal gai h to mlhm lga le,sarcastic,yes,42.11
hum bhi kasmiri pandito ke bare mai marte dum tak bolenge... or ane wale samay mai tumara wajud mitha denge folded_hands_light_skin_tone red_heart,non-sarcastic,no,60.78
bhai tu bahut maja leta he sabki face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,31.25
raised_hand_light_skin_tone raised_back_of_hand_light_skin_tone | moai | water_pistol ____ moai | | / \ / \ / \ / \,non-sarcastic,no,8.89
Le moot dita Rathee upr rolling_on_the_floor_laughing,non-sarcastic,no,22.22
modii ka bhii Dekh le.loruu face_with_tears_of_joy,sarcastic,yes,39.13
Jhavati gadhav angavar gheshil tar asach honar na .... face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,13.64
khud hindu hoke hindu ka apman kr rhi hai gajab ka doglapan hai,sarcastic,no,100.0
raahula gaandhee ke la.davaa lela logana,non-sarcastic,no,93.33
yaha bhi pele vaha bhi pelege cross_mark sath me tumko bhi pelege check_mark_button,sarcastic,yes,70.97
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,0.0
galti se bhi inke samne na ana,non-sarcastic,no,100.0
jai shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic,no,26.67
een jaiso ki waja se hi population badhi jai ja rahi fr log bolte hai unemployment hai skull bhancho itne logo ko palte rahe ge free me to vikas kya dusra desh loot kr kre ge skull skull skull bear,sarcastic,no,79.31
Fuckoff bloody youtuber cross_mark Dhruv rathi fucking witch skull,non-sarcastic,yes,15.79
how do y'all feel about moving presidents day to august ? august lacks a three day weekend . then make lincoln's b-day a day off too . #boom,sarcastic,no,0.0
eetni bat karte hi ladki ajkal bhag jati hai . rolling_on_the_floor_laughing,non-sarcastic,no,60.71
Ab Toh Tum Log Yahi Kahoge... Iske Alawa Kar Bhi Kya Sakte Ho face_with_tears_of_joy face_with_tears_of_joy Kuch Nahi Kar Sakte Tum Log face_with_tears_of_joy triangular_flag Jay Shree Raam triangular_flag trident_emblem Jay Shree Mahakal trident_emblem,sarcastic,yes,43.43
"kaam kam, coverage zyada",sarcastic,no,66.67
nuslim mahilaye jyda hi chapet me a gyi mataye netao ki bat me n aye,non-sarcastic,no,91.67
hija.de te baada kucha hove to vo ha ve enraged_face,non-sarcastic,no,66.67
Kya guzar rahi hogi meri bahen ke dil pe us time crying_face crying_face kaash me hota to us tirange me hí lipat Ke Aata face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic,yes,42.86
Aur tum kuch ukhad nahi pai ye kon batayega face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,38.89
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face cross_mark cross_mark cross_mark cross_mark cross_mark,non-sarcastic,yes,0.0
Where is the useful informative video? It's directly hate speech.. Pakdi gai basketball clown_face pig_face wali...,sarcastic,no,14.29
hee vyaktee naahee.. hee vakatee aahe!!! face_with_tears_of_joy,non-sarcastic,yes,44.83
yeh dhruv rathee anpadh gawar hai aur iski audience bhi berojgar hai skull,sarcastic,no,64.0
"aagr ek gali ladka de de,,to bc viral ho jayegi video",sarcastic,no,68.42
Jai Shree Ram red_heart red_heart red_heart,non-sarcastic,no,33.33
crying_face face_with_rolling_eyes face_with_tongue grimacing_face smiling_face_with_sunglasses grinning_squinting_face smiling_face_with_tear shushing_face beaming_face_with_smiling_eyes zipper-mouth_face,non-sarcastic,yes,0.0
kama bolyaa karo paagala aurata bow_and_arrow jaya shreeraama,non-sarcastic,no,72.73
nuslim cross_mark_button bhikharishtan ka bhikhari check_mark_button moai,non-sarcastic,yes,24.0
hichaa gharachyaa savayee sagalyaannaacha asela asa hilaa vaatata .,non-sarcastic,no,95.65
I recorded aunty running .. it’s real,non-sarcastic,no,0.0
aaga hat 5 paise wali randi,sarcastic,no,90.0
कौन संजय मदरचोद बोला रे face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,10.2
Esi liye to ap mulla ji rah gye face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,37.14
naye india ka naye plan,sarcastic,no,71.43
"M#@$%^od weather app ne ‘clear sky’ bola, ab 🌀 #Barish mein fasa hoon! ☔️ #TrustIssues",sarcastic,yes,24.24
aaur hum be bole gai ke humari be koi university huva kar thi nalanda ooniversity jis ko jala diya gaya tha,non-sarcastic,no,84.85
"Neighbor ka dog raat bhar bhonkta hai, pura orchestra free mein! 🎵",sarcastic,yes,60.0
Relax guys inke bache allah ki den hai face_with_tears_of_joy,sarcastic,yes,29.17
aare chacha ab record na todo dant tut jaega agar lena hai to condom laga kar lo na yah kya kachra kiye ho,sarcastic,no,82.86
dear ki ma ki chhut skull skull moai,non-sarcastic,no,63.64
10 mahila ko lakar drama chala rehe ho rahul gandhi ko blem kar rahe ho,sarcastic,no,69.57
jali ko ag fire kahte hai buji ko khak kahte jo rak se barud banta hai...use munawwar kahte hai..jai hind,non-sarcastic,no,76.92
"Kaafi log @LinkedIn pe CEO ban jaate hain, reality mein internship bhi dhang se nahi hoti inse. #CorporateHumor💼😂",sarcastic,yes,60.61
India India India India India India flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps smiling_face_with_sunglasses smiling_face_with_sunglasses smiling_face_with_sunglasses smiling_face_with_sunglasses smiling_face_with_sunglasses smiling_face_with_sunglasses smiling_face_with_sunglasses enraged_face enraged_face enraged_face,non-sarcastic,yes,0.0
eendia flag ki respect karo lo dogs,non-sarcastic,no,37.5
To ban jja TU bhen chod,sarcastic,no,100.0
aataa too ekateesa aahesa kee maga roja thokanaa karoona gheta asasheela,non-sarcastic,no,100.0
Hey bagwan kya kya dekhna pad rha he face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,17.54
hay bai la kahi akal ahe ka kashalrahte mg bharta madhe pathava hila pakistan madhe,sarcastic,no,92.31
aab to kya kejriwal kya dhruv ratheee or papu or pappu ki sarkar sabko aukat dikha denge 400 par abki bar har har nodi ghar ghar modi smiling_face_with_heart-eyes,sarcastic,yes,64.41
bechaaree kaa id haika huaa thaa,non-sarcastic,no,100.0
yaalaa mhanataata jha.......ta gaadhava ooraavara ghena grinning_face_with_sweat,sarcastic,yes,50.0
Isko jo vote de usse kya ummid kroge face_with_open_mouth,sarcastic,yes,60.0
No existence of conscience crying_face .....just because of them whole community get blamed...,non-sarcastic,yes,0.0
"ध्रुव राठी cross_mark , केजरूद्दीन का बेटा check_mark_button check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",non-sarcastic,yes,1.52
tumhare baat mein kya hi vision tha,sarcastic,no,90.91
"BC kal se meeting postpone ho rahi hai, aaj bhi ‘urgent’ nahi hui. Kitna professional hai yaar! #CorporateJokes 😒",sarcastic,yes,50.0
Ap Logo ka Saath Prank Hova hai skull face_with_tears_of_joy,non-sarcastic,yes,47.83
he's my dad but . . hum unhe pura match kabhi nhi dekhne dete . . it's a pretty big feat . . lol,sarcastic,no,38.89
Dhruv rathee cross_mark Congress ka choda check_mark_button,sarcastic,yes,16.67
papu ne penguins ka pappu bna diya.,non-sarcastic,no,42.86
jarmana kutte kee sakala dekha ke hee pta nhi kyu meri jhanta jala jati hai aur kisi ka bhi jaltaa ho to like kare,sarcastic,no,90.48
yah teri bahan nata ri burachodi,sarcastic,no,100.0
bhai jab chhodage hamesha to kya hi hoga aur sapna dekhna na band kar do kyuki akele hi kafi hai tumhari ma chhodne ke liye ham ko unlimited log nhi chahiye fire,non-sarcastic,no,90.91
tumhara plan suspense thriller jaisa hai,sarcastic,no,60.0
Congress is the real enemy of Muslims,non-sarcastic,no,0.0
And what about HUF ( hindu undivided family) clown_face,non-sarcastic,no,0.0
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,0.0
kya bakchodi karra hai ye jhato,sarcastic,no,100.0
In this case Man man’s_shoe man’s_shoe man’s_shoe man’s_shoe,non-sarcastic,no,0.0
aab kuch secular ke 14 ayenge issko defend karne,sarcastic,no,78.57
Iss ra n di ka ilaj karo face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,sarcastic,yes,16.67
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face fire fire fire fire,non-sarcastic,no,0.0
jai shri ram triangular_flag triangular_flag triangular_flag,non-sarcastic,no,26.67
aabhi iski jagah pe kisi hindi ke liye esa koi low hota toh inhi musalmano ne heart attack sear jana tha or bolte k muslim virodhi hai musalmano ko khatam karna chahate hai bla bla bla this low is really not good,non-sarcastic,no,84.29
men up bola rahaa hu hamaare thaa uchcha darje ke hindoo hinja.de paae jaate ha,sarcastic,no,89.66
iske khilaf koi action kyu nhi liya gya thinking_face,non-sarcastic,no,78.95
ये महंगा पड़ेगा enraged_face enraged_face enraged_face,non-sarcastic,no,31.82
ye hai hyderabad ka np. eenkho vo people vote kiya,non-sarcastic,no,56.25
bhai theek se padh kya likha hai plz,sarcastic,no,85.71
The temple should be free from the government occupation.,non-sarcastic,no,0.0
kattara hindoo hai hama || hara hara mahaadeva || triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,no,25.81
Kidar hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,6.38
isamen dekho kauna paise ke lie dau.dataa hai hindoo eka bhee naheen sarakaara giraane kaa kaama ina logon kaa hee hai aba hindoo ko jaaganaa hogaa fire fire fire,non-sarcastic,no,92.86
dongre mai rhnai wala har insan tanki hai ap ki sarkar kar kiya rhi hia,sarcastic,no,100.0
Jali n face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,4.26
"sach tu pakka gawar tu yrr aarticle 27, constitution of eendia 1950 wala jake pad agar ata ho to but sach tu paka aj dikha diya ki tu andhkat h",sarcastic,no,60.0
Y is he bothered about Jews.. Just trying to divert.. Chutiya,sarcastic,no,15.79
hum banarasi hindu h dhoka nhi dete hai. har har nahadev folded_hands triangular_flag,non-sarcastic,no,58.62
nunnawar jeet gya hai bhakto k jal gyi,non-sarcastic,no,81.25
aapne career ke shikhar dhawan par !!,sarcastic,no,76.92
sorry yogi ji.. pata nhi ye kon log h.. kaha se ate h.. but noida se abhi vote bjp ko h or rahega..,sarcastic,no,62.79
bolna toh bahut kuch hain par vivad ho jayega,non-sarcastic,no,100.0
jo or desh main nafrat mat felao chodhary,non-sarcastic,no,100.0
Sukar manao ki o uncil ji the koi our nahi tha nahi to Aaj bike wala bichh me hi pis jata face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,50.98
Jai shree ram folded_hands_light_skin_tone red_heart orange_heart,non-sarcastic,no,13.04
How can waqf board claim a 1500 year old temple if Islam itself is 1400 years old,sarcastic,no,0.0
triangular_flag triangular_flag jai shree ram triangular_flag triangular_flag,non-sarcastic,no,22.22
to ayodhya mein jo garbari hui hai....uski wajah yehi hai.......wah re janta,sarcastic,no,57.58
Yaha hum kisi ko behen bol de to uske liye galat sochna impossible h aue ek ye h enraged_face cross_mark,non-sarcastic,yes,75.0
dhruv rati ki bhi bhan chudegi ab,sarcastic,no,78.57
Gaan jali hai fire face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,12.82
aab koi ye nahi bolega ki gravity kahan gai kyonki wo ma chuda rahi hai,sarcastic,no,95.65
kaho chacha marai ka jaldi hai ka,non-sarcastic,no,100.0
ees madharboard ki koi id dega,non-sarcastic,no,81.82
eesko garam garam phynail pilans chaiye,non-sarcastic,no,30.77
moai moai moai mauntendew moai moai moai rolling_on_the_floor_laughing rolling_on_the_floor_laughing check_mark_button face_with_tears_of_joy,non-sarcastic,yes,22.64
jab wo bola hai 1 julye to wait to karo pehle tum log bhi,non-sarcastic,no,68.42
when beginner meets final boss skull,non-sarcastic,no,0.0
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
Aabe jhatu Midiya Vale Abhi Bhi Nahi bani bani to Jarur Dalenge face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,42.22
jisne phle vote nhi diya tha congress ko usne bhi congress ko vote diya ek lakh ke chakkar mein.. person_facepalming khata khat khata khat..gawars of eendia,sarcastic,no,63.79
tere kule me land leke gus jaoga,non-sarcastic,no,75.0
Boys ses : Hut Motherchod face_with_tears_of_joy,sarcastic,yes,5.88
"laaloo jayalalitaa madhu ko.daa ,karunaanidhi,kalamaadee,ye saare kyaa tere baapa the",sarcastic,no,88.24
Jitna Paisa lene aayi h sab mulli h rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,no,21.88
punjab me hota eski ma chod dete,sarcastic,no,75.0
Yehi hai congres ki asliyat face_with_symbols_on_mouth enraged_face,non-sarcastic,yes,27.27
Jaa bhai tu bhi line laga le khata face_with_tears_of_joy khat pasi lene k liye,sarcastic,yes,65.62
Height of publicity.....face blur karra N gand full dikhara...,non-sarcastic,no,28.0
moai moai moai moai moai moai moai moai,non-sarcastic,no,100.0
Badhiya meme hai.. face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,11.54
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy he bhagvan muje hr janm me hindu ke gr bhejna,non-sarcastic,yes,24.66
naiya yaso rupaya pavva se power ee hai,non-sarcastic,no,76.92
aanay ja ry ...tm khud he dehshat gard ho,non-sarcastic,no,83.33
ஓத்தா பாடு நேர்ல மொதங்கடா இது மாதிரி பண்ணாதடா,non-sarcastic,no,7.69
ladki hone ka fayda utha rahi hai warna ek thappad me hi moot maregi oyo ki rani,sarcastic,no,93.1
cross_mark enraged_face enraged_face cross_mark cross_mark enraged_face enraged_face,non-sarcastic,yes,0.0
bahut galat bat hai kisi ki rozi roti hai wo kisi ka nukasn karna channd like follow ke liye gali lagegi tabhi road pe mare pade rehte hai byker baddua jo lagti hai ab apni bari ka intezar karle beta,non-sarcastic,no,95.16
The fact they are all muslim,non-sarcastic,no,0.0
Are he bhikar chodko he kam hota hai mufat ka Lena face_with_tears_of_joy congress aya nahi or inko paise hona face_with_tears_of_joy,sarcastic,yes,50.0
Aur ye bhi batana ki tum kuchh ukhaad nahi paaye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy aur tumhari aulaad bhi kuchh ukkhad nahi sakte face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,38.89
ap sab glt kar rhe ho pakistan m punjab ka bda part gya h par wha apka muh nahi khulega qki wha apke bap #isi se funding ayta h na,sarcastic,no,81.63
ne muslim hoon mujeh bhi achcha nhi laga ke isko sab itna support kar rahe h isne hindu or islam doto mazhab ka mazak udaya h par jan elvish jeeta tha jab kaha the tum?????,non-sarcastic,no,84.13
15 laakha ke jaise jumalaa thaa,sarcastic,no,91.67
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing or banao face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,3.64
kauna hai ye jaahila lukhkhaa enraged_face,sarcastic,no,68.75
Gravity gye maa chudane face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,10.0
Khata khat khata khat rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,25.0
nadarchod h bo enraged_face enraged_face enraged_face,non-sarcastic,no,15.0
comment karne se kuch nhin hoga esne humari sanskriti ka apman kya hai karwai honi chahiye| jago jago|| crying_face,non-sarcastic,yes,73.17
sir na chutiya ho gaya ha,non-sarcastic,no,87.5
red_heart red_heart red_heart red_heart fire fire,non-sarcastic,no,0.0
"dekha rahe ho vinoda, kaise maulika adhikaaron kaa pooraa phaayadaa uthaayaa jaa rahaa hai inglisha bola bola ke|| grinning_face_with_sweat grinning_face_with_sweat",sarcastic,yes,57.14
cross_mark Raati check_mark_button Trivedi triangular_flag India,non-sarcastic,yes,0.0
aab kha hai random sena ab inse bhi mafi manago,non-sarcastic,no,94.12
face_with_tears_of_joy gravity shadi me gya hai face_with_tears_of_joy rolling_on_the_floor_laughing,non-sarcastic,yes,15.38
hichya aicha dana hila utani zawa,non-sarcastic,no,25.0
"neele kabootara kahaa hai jaya bheema vaale,,,,anbedakara jee sacha men mahaana hai,,,jaago hinduon samaya rahate",non-sarcastic,no,84.09
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,0.0
tum logon ki journey memes mein likhi jaayegi,sarcastic,no,78.57
aisaa posta dekhane ke baada bhee kucha loga bolenge bhaarata men aajaadee naheen yahaan taanaashaahee kaa shaasana hai,non-sarcastic,no,100.0
ye gali de rahi hai iske khilaf nan hani ka case kar bhai raising_hands,non-sarcastic,no,81.82
"team ne kaam ke liye nahi, content ke liye visit kiya",sarcastic,no,73.33
sb enka hi h. hddd h aise chla toh shi m hindu muslim ho hi jayega,non-sarcastic,no,92.86
Moutain dew cross_mark desi daaru check_mark_button,non-sarcastic,yes,22.22
"had hai,ek game show ko kya se kya bana deti hai media",sarcastic,no,76.47
Maarrrree ekra ammii ke chhodo grinning_face_with_sweat face_with_tears_of_joy,sarcastic,yes,33.33
hi yedzavi ahe hichu laiki nai ahe,non-sarcastic,no,100.0
par up walo ne to kabhi ram ka sath diya hi nahi clown_face,sarcastic,no,78.26
Kida Bhi Tere Me Tha Na face_with_tears_of_joy,non-sarcastic,yes,45.0
Wonder woman of India face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,yes,0.0
aaajao lo lelo babri masjid ko ajao,sarcastic,no,91.67
"garibo ke ye sab bahot galat hua, bas muft ka khane ki adat jisko hoti hai unka hal aaisa hi hota hai thumbs_up",sarcastic,no,80.0
video dekh ke poty a gayi,non-sarcastic,no,88.89
He Eats lakhs of dhruv rathi in breakfast face_with_tears_of_joy,sarcastic,yes,0.0
Khata khat khata khat rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,25.0
"Dhruv told ""sitting chief minister ko...""",non-sarcastic,no,7.69
Comman man cross_mark Ganga Man check_mark_button,sarcastic,yes,0.0
इसलिए पढ़ाई लिखाई जरूरी है rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,no,0.0
Hindu ho to banna shiko agar ko mzak bnaye to uski mb krdo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,37.04
aare tu to bani mar de kamini news deta nodi ki sarkar,sarcastic,no,94.74
etne hijdon m ek shreni eendia red_heart,non-sarcastic,no,78.57
Mp wale hindu hai likho or u.p. wale hiz.....y hai likho face_with_tears_of_joy,sarcastic,yes,47.37
aab iski g fat gyi enraged_face enraged_face moai,non-sarcastic,no,50.0
thappad mar diya to aaurto ke liye gyan dene wale a jayenge,non-sarcastic,no,100.0
samaya aane para saba kaॉmana lagegaa....pee.dhee dara pee.dhee logo men parivartana aataa hai...,sarcastic,no,77.5
Ye sala hamesha hindu Muslim karta hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic,yes,27.27
