comment,human_labelled,ai_labelled,emoji_present,hindi_pct
"aabe chutiye........ uddhav. balasaheb thakre ch he vaktavy nahi... jich,ahe tila bol lavdya .... paksh pramane bolay gelo tr shemnya tu jyanxh",non-sarcastic,sarcastic,no,63.49
Abhe too pm too bnaoo enraged_face enraged_face enraged_face,sarcastic,sarcastic,no,30.43
achha hua van k lorro k sath,sarcastic,sarcastic,no,100.0
jai siya ram rose rose rose rose rose,non-sarcastic,sarcastic,no,50.0
dusre ko padne bolne se pehle khud pad lete ti pata chalta jiski sarkar h wo kr sakte h baki koi or nhi jeet hui par rahul gandhi ka sarkar nhi h ok,non-sarcastic,sarcastic,no,90.74
jo bhi is molvi ko gali dena chahte hai vo like kare fire fire fire,sarcastic,sarcastic,no,68.42
tum log har speech mein naye visual effects daalte ho,sarcastic,sarcastic,no,78.57
Muslims are educated and this is thr result face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,0.0
jay shree raama folded_hands folded_hands folded_hands folded_hands folded_hands,non-sarcastic,non-sarcastic,no,12.9
"when sagarika was born doctor said ""nubarak ho aur shubhkamnayen bhi""",sarcastic,non-sarcastic,no,57.14
bas badiya sab.. oopar wale ka sahara hai.. aabhi chai pee rahe hai,sarcastic,non-sarcastic,no,85.71
koi aapni 7 pusto ko bata dena koi kuch nahi ukhad payega,non-sarcastic,sarcastic,no,95.24
jeeva de maga bhaaratabhoomeeta raahoona shree raamaanaa maanata naahee tara enraged_face enraged_face jaya shree raama jaya hindoo raashtra triangular_flag triangular_flag raising_hands raising_hands,non-sarcastic,sarcastic,no,49.21
Iska ilaj karna sabse zyada zaroori hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,31.25
My respect saluting_face for the young lady who tried to remove the flag clapping_hands clapping_hands,non-sarcastic,sarcastic,no,0.0
nishra ji ise hathi bol kar hathi jaise achche jeevo ko galiya na de,sarcastic,sarcastic,no,86.36
तुला काय डोक आहे का नाही मंद face_with_symbols_on_mouth face_with_symbols_on_mouth,sarcastic,sarcastic,yes,33.33
bhai dekho 2 logo ko narne wala aur ye,non-sarcastic,sarcastic,no,91.67
जय श्री राम fire fire red_heart red_heart,non-sarcastic,non-sarcastic,no,0.0
Sawal kuch or jawab kuch or Scripted Hai Sab #chatukarmedia face_with_medical_mask,sarcastic,sarcastic,yes,55.56
ek lga do eshmy akal a jaygi,sarcastic,sarcastic,no,100.0
I hope this rider dead soon face_with_tears_of_joy,non-sarcastic,sarcastic,yes,0.0
salman khan kaha ho?,sarcastic,non-sarcastic,no,42.86
tu tashee mhanaje.. sagale cha tujhyaa saarakhe hote kaa enraged_face,non-sarcastic,sarcastic,no,74.07
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy apka India Ane ka ticket karu ??,error,sarcastic,yes,10.91
Proud to be a hindu triangular_flag red_heart,non_sarcastic,non-sarcastic,no,0.0
Gravity gai maa ***** rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,7.14
honda haii enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic,no,13.79
"Congress always played the appeasement politics, high time for UCC",non-sarcastic,sarcastic,no,0.0
chutiya ...gyan n ho banta nhi krte rathi ji..,non-sarcastic,sarcastic,no,71.43
ab roadmap ka teaser bhi trend karta hai,sarcastic,sarcastic,no,53.85
eenka judda ukhad dena chahiye. bhadwon ka.,sarcastic,sarcastic,no,87.5
पप्पू की बात और गधे की लात पर विश्वास करने वाले लोग face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy अब तो मोदी जी का 5 किलो राशन ही खाना पड़ेगा face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,5.8
mata jaa bhaaee kucha hogaa to dekha lenge khunee ko choda diyaa ura tere peeche pade mata jaa too,non-sarcastic,sarcastic,no,100.0
zindagi ki date ek bilan chhoti krdo,sarcastic,sarcastic,no,90.91
कांग्रेस गारंटी कार्ड भी अल्ला की देन है winking_face_with_tongue rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic,yes,0.0
Half knowledge is more dangerous than a full lie,non-sarcastic,sarcastic,no,0.0
nountain dew dar ki nan ki chut,non-sarcastic,sarcastic,no,72.73
Why i trust on you? rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,0.0
"3% hike? Bahut kar diya aapne, boss! 🤑📈 #EmployeeOfTheMonth",sarcastic,sarcastic,yes,33.33
face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth,non-sarcastic,non-sarcastic,yes,0.0
Bhai intentionally Bhejna Aur Unintentionally bhejne mai fark hota hai,non-sarcastic,sarcastic,no,71.43
Heart Touching Video cross_mark Kidney Touching Video check_mark_button,sarcastic,sarcastic,yes,0.0
Bhai bhen ka pyar cross_mark bench*d check_mark_button,sarcastic,sarcastic,yes,36.84
chutiya banaya tumko fata fat fata fat clown_face,non-sarcastic,sarcastic,no,68.42
Bro is owner of mountain dew check_mark_button skull moai,non-sarcastic,sarcastic,no,12.5
nughlo ki najayaz olad fire fire bharosewale bht bde bharosewale khush rha kro doosro ki tarakki se,non-sarcastic,sarcastic,no,94.87
ye atankawadi se bhi jyada khatarnak hai anchor sab enraged_face,non-sarcastic,sarcastic,no,69.57
"Taka Tak rolling_on_the_floor_laughing Taka tak face_with_tears_of_joy Taka tak rolling_on_the_floor_laughing Taka tak Taka tak face_with_tears_of_joy ,,,, Does your Rahul Gandhi (Step Father of dhruva ) Skipped tha economics class ?? rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing",sarcastic,sarcastic,yes,9.91
Koi isko bhe condom lga do jaldi se face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,33.33
Faltu bakwaas insaan. Dhruv Rather is the most irritating person I have ever come across.,non-sarcastic,sarcastic,no,28.0
Hindu hai.....ayodhya wale sach jaante the islie bhaga dia..bahar wale trailer dekh ke naachte rahe face_with_tears_of_joy,sarcastic,sarcastic,yes,47.92
पहले सोचती थी कस up se hoti achha hua wo कास में ही रहा गया smiling_face_with_heart-eyes,non-sarcastic,sarcastic,yes,36.36
achchaa huaa hama nahee the ina bhaaee kee jagaha varanaa jela manjoora thaa lekina maarataa taba taka jaba taka isakee 7 pushta naa yaada aa jaate,non-sarcastic,sarcastic,no,98.0
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,non-sarcastic,no,0.0
Bro was the engineer to construct the bridge check_mark_button,non-sarcastic,sarcastic,no,0.0
Aur sale bolte bolte mar jaenge yah log aur ugadega kuchh nahin face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,32.31
hey bajrangbali bas aj ek reply mil jaye..,non_sarcastic,non-sarcastic,no,37.5
Tere gand me mirchi kyo lagi,non-sarcastic,sarcastic,no,100.0
Gravity ke sath ammma behn krte ye log check_mark_button Nutan cross_mark,non-sarcastic,sarcastic,yes,47.83
kab de rahe ho 1 lakh ?,sarcastic,sarcastic,no,80.0
isako kondaa.nma cha.daane kaa kaaphee tajurbaa hogaa,non-sarcastic,sarcastic,no,83.33
grinning_face_with_sweat crying_face crying_face crying_face crying_face crying_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing cross_mark cross_mark cross_mark rolling_on_the_floor_laughing,non-sarcastic,sarcastic,yes,0.0
Behen chod physics ki maa behen ek kar diya grinning_face_with_sweat,non-sarcastic,sarcastic,yes,50.0
nountain dew darr ki ma ki ch***,sarcastic,sarcastic,no,28.57
nai hindu hu maine vote bhi bjp ko kiya mai hameshaa sath hu yogi ji and nodi ji ke sath,non-sarcastic,non-sarcastic,no,84.38
"He made a video showing his disappointing about our justice system ,he never claimed to be the guy who caused the accident it's all social medias fault for showing him as vedant Agarwal",non-sarcastic,sarcastic,no,0.0
rahul gandhi vada kiye the ki unki sarkar banegi to mahilaon ke khate mein paisa jayegi lekin unki sarkar bani nahin to kahan se paise khate mein jaenge yah sochne wali bat hai,non-sarcastic,sarcastic,no,93.75
eesake ladake unake ladako ko bolega gyanvapi nam se bhi ek majjid thi face_with_tears_of_joy,sarcastic,sarcastic,yes,70.27
jo party power me hai vo paise degi na ya opposition paise dega? face_with_tears_of_joy,sarcastic,sarcastic,yes,48.28
green_heart green_heart green_heart green_heart green_heart green_heart fire,non-sarcastic,non-sarcastic,no,0.0
eeski gand maro content creator lvda bc,sarcastic,sarcastic,no,46.15
Ye biker pra nahi kis chaud mai rehte hai .Agar local public ka dimaag sarak gaya to peet peet kar admara kardenge face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,51.79
B J P. fire fire fire . fire fire fire . fire fire .,non-sarcastic,sarcastic,no,6.67
Tv Serial Bali maa hai rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,13.33
yenhe inke mai ke chodo jada bolat hai,non-sarcastic,sarcastic,no,100.0
Abe tere jese chutiye kai h Munawwar bhai ki jit bardast nhi ho rahi h face_with_tears_of_joy,sarcastic,sarcastic,yes,61.54
heat touching cross_mark kidney touching check_mark_button,sarcastic,sarcastic,yes,0.0
Waps ajao pune mam porche leke khada hoo upside-down_face full_moon_face,sarcastic,sarcastic,no,53.85
Published my first 📖 #PoetryBook on Amazon! Childhood dream achieved 🌟,non_sarcastic,non-sarcastic,yes,0.0
loga kitane laachaara ho gaye hai. eka tikeeta ke liye dharma ko ka itanaa ghora apamaana. naraka mai bhee jaagaa naa mile aise pishaacha paidaavara,non-sarcastic,sarcastic,no,96.23
triangular_flag m khushnaseeb manti hu apne apko ki m hindu paida hui,non-sarcastic,non-sarcastic,no,82.61
शिवसेनेतील २ चुतिये एक जित्तुद्दीन आणि दूसरी रांड शुषमा खान face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,0.0
feedback system properly deployed hai,non_sarcastic,sarcastic,no,20.0
Dar ke aage Jeet hai mountain due piyo skull skull skull moai face_with_tears_of_joy check_mark_button,non-sarcastic,sarcastic,yes,33.33
yedyaa puchcheechyaa aaheta kaaya re hyaa..,non-sarcastic,sarcastic,no,89.47
yah mahilaon log randi khna se modi ka lund chus kar agya check_mark_button abhi hmra gar chatna agya rolling_on_the_floor_laughing,sarcastic,sarcastic,no,63.04
Court with in a court raising_hands,non-sarcastic,sarcastic,no,0.0
"Wo chacha bechare budhe the,,,,werna main hota to itne me teri 10 baar Maiya choo deta,,",sarcastic,sarcastic,no,80.56
"Hindu bas social media P active hai, and musalman karm karne m active hai",non-sarcastic,sarcastic,no,38.89
Kon sa huq bee sakl dikhne ki to aukaat nhi h baat mandir ki dur rakho face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,55.1
Proud to be muslim Wale nhi dikhai de rahe face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,22.45
Tum sali ladkiyon munh kyon chhupa Rakha hai bee face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy dam hai to munh dikha kar baat karo smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes,sarcastic,sarcastic,yes,26.72
Chchinal भोकाची enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic,no,3.85
Aa lakdi kyu padi ho zaad me aja ghus Jaa meri Gand me face_with_tears_of_joy rolling_on_the_floor_laughing,sarcastic,sarcastic,yes,47.5
bete wo tha he bujurg agar hota na koi garam khoon wala teri kholta pehle,non-sarcastic,sarcastic,no,100.0
folded_hands enraged_face gussaa to bahuta aaee hai dekha kara veediyo kee aurata jaata hone kaa eka itanaa phaayadaa uthaatee hain sochate hain hamako kucha hogaa hee naheen speecha ledee para bahuta sakhta kaarravaaee honee chaahie,non-sarcastic,sarcastic,no,86.75
W r very happpy for munawar red_heart red_heart red_heart clapping_hands clapping_hands clapping_hands jis ki jalti hai jale,sarcastic,sarcastic,no,17.07
2 ke bad nashbandi kara deni chaiye inki...,sarcastic,sarcastic,no,76.47
tu sala chapri rider hai aur galti bhi teri hai,non-sarcastic,sarcastic,no,78.57
ta.ctoo ke chakkara me kidhara bhee haatha lagaa le rahaa hai ye face_with_tears_of_joy,non-sarcastic,sarcastic,yes,58.33
Ab Bolo Allah Akbar Bolo na face_with_tears_of_joy,non-sarcastic,sarcastic,yes,31.58
milegaa aapa logon ko khataakhata khataakhata,sarcastic,sarcastic,no,94.44
ees hisab se .. hum bhi bolenge ki tum babar ki aulad ho jisne mandir tode the,sarcastic,sarcastic,no,93.33
jaba yamaraaja jee chuttee para hon,non-sarcastic,sarcastic,no,100.0
Modi ji sarkaar ban gai hai......ab pappu ko aur musalmaan ko mili gi ... KHATA KHAT KHATA KHAT rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic,no,31.52
yaha desha sanvidhaana taakata jisa men hindoo ko baara baara apamaanita honaa pa.dataa hai bahusankhya hone baada bhee hindoo sanvidhaana kee manaataa hai kutune saare hindoo virodhee kaanoona hone baada bhee to samajha nahee paataa,non-sarcastic,sarcastic,no,93.9
ye loga kahaa le jaa rahe he hamaare desha ko,non-sarcastic,sarcastic,no,100.0
gap ye psycho salya kashala ai ghatli.. bgh ata maja,non-sarcastic,sarcastic,no,68.42
Cool down brother ye apne bua aur papa ka ldka hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,30.56
Tatto karne mai maza aa raha hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,31.25
dhuruv ye kuttaa hai isakaa kaama bhokanaan hain,non-sarcastic,sarcastic,no,100.0
"dhruv rathi ki ma chod dega ye banda ek bar debate kra do iske sath , ye chanakya h bjp ka , jay shree ram",sarcastic,sarcastic,no,67.5
Bss Congress ki govt bn ne do pura india Waqf board ka hoga,non-sarcastic,sarcastic,no,52.63
aaise logo ke sath ek ki kam sar ko karo jai shri ram,sarcastic,sarcastic,no,84.21
aabe dhruv tu chutiya hai kya thoda sa..,non-sarcastic,sarcastic,no,70.59
congress ki government bani kdr ???,non-sarcastic,sarcastic,no,41.67
g far dega ab agar dekh liya to moai,sarcastic,sarcastic,no,100.0
Media Dalal bhosdi pura media Dalal face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,4.6
Iska jinda rahna hi galat baat hai enraged_face face_with_symbols_on_mouth,non-sarcastic,sarcastic,yes,46.15
Iska kya logic hua face_with_tears_of_joy matlb kuch bhi,non-sarcastic,sarcastic,yes,50.0
कोई अच्छा लडका है जो दोस्त बनेगा smiling_face_with_tear smiling_face_with_tear,non-sarcastic,sarcastic,yes,6.67
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic,no,0.0
aapni gand bich mai ghusane ke kya jarurat thi. aabhi tuzhe yad a raha hai ke tu middle class ka banda hai.,sarcastic,sarcastic,no,89.74
Dhruv Rathi sirf BJP ke hi piche pada hai usko khatm karne ke liye face_with_tears_of_joy,sarcastic,sarcastic,yes,47.22
Kaas us den eska baap pahan leta face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,16.67
garv se khao tum mulle hogye ho,sarcastic,sarcastic,no,92.31
eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia,non-sarcastic,sarcastic,no,0.0
ram kon ahi he maht ahi ka pahle mahti kar natar bol,non-sarcastic,sarcastic,no,94.74
India India India India India India fire fire enraged_face enraged_face enraged_face,non-sarcastic,sarcastic,no,0.0
owesi ko l jaao... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,11.63
hichyaa aaee baapaana khupa motha paapa kelan asalan tevhaa aashee raanda janmaalaa aalee bhangaara bhokaachee aavalaada,non-sarcastic,sarcastic,no,95.35
100 likes par kaaba unbox karunga cat_with_tears_of_joy skull check_mark_button,sarcastic,sarcastic,no,17.86
kitta chor sudheer chaudhry mar jal kr,non-sarcastic,sarcastic,no,61.54
ab meeting me bhi background music hota hai,sarcastic,sarcastic,no,70.0
Ura bsdk bdmos mnja face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic,yes,6.45
een sajjan ko kya hua hai bhai.. bohot hi bade sadmai hai… aagar aarun jhit jata aur hyderabad mai eessi tarah jashn aur khushi manayi jati old city charminar ke pas toh in sajjan ka koi alag hi prastav hota kyu ki nam hi hai logo ka jo ye news godi media anker sabse pehle dekhte hai taki inki rozi roti chale warna ye bina hindu-nuslim ke kuch bhi nahi hai.. face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,64.52
Waqf htao dunia bchao crying_face raising_hands fire,non-sarcastic,sarcastic,yes,50.0
Sar yah to shuruaat hai aage dekhiae kis kis ka munh latkaega... two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts,non-sarcastic,sarcastic,no,32.81
bhai yo mara bhi khali ha jarurat ho to mang lana,non-sarcastic,non-sarcastic,no,100.0
Gravity gayi maa chudane.... check_mark_button face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,13.16
Yahi to aata hai chutiyon ko rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,23.81
"People who are commenting against him have an IQ level lower than room temperature. He just made a sarcastic rap against that boy and our legal system. What wrong did he do? The media tried to frame him by saying he is the real culprit. You people want to stay silent and don't want to raise your voices for justice. If someone does, you attack them. What the hell...",sarcastic,sarcastic,no,0.0
eeski m..... b. par aaa jauga me abbb roko isko koi,non-sarcastic,sarcastic,no,62.5
"Journey of ""5 star"" through ""Dew"" skull",non-sarcastic,sarcastic,no,0.0
Koi iss bkl ko education do!!,sarcastic,sarcastic,no,54.55
yeh scheme toh chand pe bhi chalegi,sarcastic,sarcastic,no,76.92
fire fire fire fire fire fire,non-sarcastic,sarcastic,no,0.0
cross_mark waqf board nahi hona chahiye.,non-sarcastic,sarcastic,yes,42.86
bat dharm ki ho rahi hai....koi kya kar raha hai uski personal issues hai....dharm kya kare fir....aur log jyada hai to tu mar ja 1 log kam ho jayega thumbs_up,sarcastic,sarcastic,no,60.32
Pappu ne lalipop de diya rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic,yes,2.15
fire fire fire smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes,non-sarcastic,non-sarcastic,yes,0.0
sari hoor a gayi .. sab miya khalifa. squinting_face_with_tongue camel eggplant,sarcastic,sarcastic,yes,34.48
nountain dew der ki maki chut,sarcastic,sarcastic,no,72.73
Gravity gai ma chudane rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic,no,16.0
Mountain dew dar ka ma ke chut face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,11.32
uddhava thaakare nee sagalyaata mothee chooka hee ghaana pakshaata gheoona budhavaara petha,sarcastic,sarcastic,no,83.87
"sudhanshi ji ko chodo uss madarchod german shepherd ko bas mere sath 20 minute mere sath bithake live stream kardo , sari chutiyapanti bahar a jayegi thumbs_up",sarcastic,sarcastic,no,64.71
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy फटाफट फटाफट अब च** मरवा लो,sarcastic,sarcastic,yes,30.0
Kuch nah krke bhi dekho darr ke aage jeet hain face_with_tears_of_joy,non-sarcastic,sarcastic,yes,60.71
Mountien dew cross_mark dar ki maa ki choot check_mark_button face_with_tears_of_joy,sarcastic,sarcastic,yes,20.0
diwali shopping wahan se karo jahan kisi gareeb ki diwali achi hojaye #diwali #deepavali,sarcastic,non-sarcastic,no,57.14
Tere L lagye he chutiye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic,yes,14.06
rishta bi kharab kar re bhai ka enraged_face,non-sarcastic,sarcastic,no,70.59
bc glti neri thi jo maine puri video dekhi,non-sarcastic,sarcastic,no,60.0
ne nuslim hu lekin ye post kana galat bat he kisi bhi dharam ke bareme galat post na karna chaiye ye bat se me sahamat hu,non-sarcastic,non-sarcastic,no,84.21
kiti nalayk bai ahe kide padun marshil ha ek aicha shrapy tula. aaani kharokhar mee khari asen tar maza shrap lagnar tula,sarcastic,sarcastic,no,76.74
scooter wale ki bhi to galti ho sakti hai,non-sarcastic,sarcastic,no,75.0
